DATE,EXPTOTAL
1995-08-01,412.4
1995-09-01,410.7
1995-10-01,419.4
1995-11-01,402.3
1995-12-01,457.4
1996-01-01,453.0
1996-02-01,428.8
1996-03-01,440.2
1996-04-01,443.3
1996-05-01,395.8
1996-06-01,422.5
1996-07-01,339.5
1996-08-01,446.6
1996-09-01,415.1
1996-10-01,500.6
1996-11-01,478.4
1996-12-01,405.9
1997-01-01,497.0
1997-02-01,435.3
1997-03-01,459.5
1997-04-01,497.9
1997-05-01,467.9
1997-06-01,478.7
1997-07-01,466.4
1997-08-01,565.9
1997-09-01,513.7
1997-10-01,565.3
1997-11-01,519.6
1997-12-01,464.3
1998-01-01,525.7
1998-02-01,468.0
1998-03-01,530.0
1998-04-01,528.2
1998-05-01,504.9
1998-06-01,626.2
1998-07-01,484.6
1998-08-01,465.5
1998-09-01,503.7
1998-10-01,585.6
1998-11-01,588.9
1998-12-01,560.6
1999-01-01,444.7
1999-02-01,510.5
1999-03-01,564.8
1999-04-01,596.2
1999-05-01,514.3
1999-06-01,529.9
1999-07-01,451.6
1999-08-01,507.3
1999-09-01,536.4
1999-10-01,494.9
1999-11-01,518.2
1999-12-01,523.5
2000-01-01,477.9
2000-02-01,585.8
2000-03-01,685.5
2000-04-01,602.1
2000-05-01,557.9
2000-06-01,640.2
2000-07-01,553.9
2000-08-01,628.7
2000-09-01,613.6
2000-10-01,691.3
2000-11-01,635.9
2000-12-01,644.3
2001-01-01,653.7
2001-02-01,649.9
2001-03-01,752.4
2001-04-01,590.6
2001-05-01,661.6
2001-06-01,644.5
2001-07-01,519.1
2001-08-01,605.7
2001-09-01,601.7
2001-10-01,670.9
2001-11-01,630.5
2001-12-01,589.6
2002-01-01,615.3
2002-02-01,670.3
2002-03-01,726.8
2002-04-01,716.8
2002-05-01,770.1
2002-06-01,698.0
2002-07-01,556.6
2002-08-01,748.7
2002-09-01,684.2
2002-10-01,724.7
2002-11-01,702.5
2002-12-01,652.9
2003-01-01,642.6
2003-02-01,695.6
2003-03-01,731.7
2003-04-01,716.7
2003-05-01,662.3
2003-06-01,683.2
2003-07-01,577.8
2003-08-01,693.6
2003-09-01,688.6
2003-10-01,728.8
2003-11-01,791.8
2003-12-01,727.7
2004-01-01,621.6
2004-02-01,690.6
2004-03-01,866.4
2004-04-01,713.7
2004-05-01,775.8
2004-06-01,702.0
2004-07-01,652.7
2004-08-01,790.8
2004-09-01,724.4
2004-10-01,876.6
2004-11-01,778.5
2004-12-01,829.3
2005-01-01,723.7
2005-02-01,701.1
2005-03-01,817.6
2005-04-01,826.4
2005-05-01,924.6
2005-06-01,851.8
2005-07-01,795.6
2005-08-01,950.4
2005-09-01,941.9
2005-10-01,1038.6
2005-11-01,1149.6
2005-12-01,1074.5
2006-01-01,987.1
2006-02-01,1095.8
2006-03-01,1384.5
2006-04-01,1148.7
2006-05-01,1087.4
2006-06-01,1182.2
2006-07-01,1151.8
2006-08-01,1206.6
2006-09-01,1289.0
2006-10-01,1212.4
2006-11-01,1158.6
2006-12-01,973.6
2007-01-01,921.9
2007-02-01,1135.5
2007-03-01,1387.7
2007-04-01,1202.0
2007-05-01,1317.8
2007-06-01,1302.1
2007-07-01,1194.3
2007-08-01,1292.8
2007-09-01,1170.8
2007-10-01,1306.1
2007-11-01,1096.7
2007-12-01,1093.6
2008-01-01,1114.6
2008-02-01,1303.6
2008-03-01,1353.7
2008-04-01,1173.5
2008-05-01,1546.7
2008-06-01,1347.8
2008-07-01,1355.1
2008-08-01,1522.0
2008-09-01,1454.9
2008-10-01,1465.8
2008-11-01,1314.7
2008-12-01,893.4
2009-01-01,782.8
2009-02-01,920.6
2009-03-01,1077.9
2009-04-01,832.5
2009-05-01,962.5
2009-06-01,923.6
2009-07-01,917.8
2009-08-01,1138.9
2009-09-01,1248.8
2009-10-01,1156.8
2009-11-01,1204.5
2009-12-01,1185.6
2010-01-01,980.7
2010-02-01,1174.3
2010-03-01,1292.6
2010-04-01,1325.3
2010-05-01,1328.1
2010-06-01,1164.5
2010-07-01,1142.8
2010-08-01,1443.4
2010-09-01,1352.4
2010-10-01,1445.0
2010-11-01,1450.1
2010-12-01,1405.3
2011-01-01,1145.0
2011-02-01,1431.7
2011-03-01,1661.9
2011-04-01,1373.3
2011-05-01,1641.8
2011-06-01,1439.1
2011-07-01,1555.6
2011-08-01,1437.8
2011-09-01,1510.2
2011-10-01,1820.4
2011-11-01,1414.3
2011-12-01,1462.2
2012-01-01,1384.7
2012-02-01,1606.3
2012-03-01,1844.0
2012-04-01,1716.3
2012-05-01,1744.4
2012-06-01,1778.2
2012-07-01,1394.8
2012-08-01,1507.3
2012-09-01,1873.6
2012-10-01,1566.2
2012-11-01,1451.7
2012-12-01,1658.3
2013-01-01,1300.843847
2013-02-01,1623.24996
2013-03-01,1785.549911
2013-04-01,1636.820911
2013-05-01,1734.80548
2013-06-01,1607.134044
2013-07-01,1441.674914
2013-08-01,1687.565769
2013-09-01,1562.204086
2013-10-01,1849.034124
2013-11-01,1512.234306
2013-12-01,1560.204364
2014-01-01,1274.807583
2014-02-01,1481.911973
2014-03-01,1793.906236
2014-04-01,1604.785336
2014-05-01,1775.868756
2014-06-01,1703.552322
2014-07-01,1560.136925
2014-08-01,1711.868936
2014-09-01,1660.034754
2014-10-01,1661.230573
2014-11-01,1622.306973
2014-12-01,1599.986225
2015-01-01,1406.807684
2015-02-01,1471.809786
2015-03-01,1834.726491
2015-04-01,1593.692834
2015-05-01,1588.743012
2015-06-01,1513.703731
2015-07-01,1532.036254
2015-08-01,1712.566156
2015-09-01,1757.637659
2015-10-01,1713.934716
2015-11-01,1579.578503
2015-12-01,1616.950244
2016-01-01,1552.342251
2016-02-01,1815.878196
2016-03-01,1686.73601
2016-04-01,1727.782641
2016-05-01,1645.277195
2016-06-01,1694.76937
2016-07-01,1524.168725
2016-08-01,1692.466235
2016-09-01,1796.737983
2016-10-01,1781.237473
2016-11-01,1677.547219
2016-12-01,1876.255435
2017-01-01,1663.154898
2017-02-01,1692.320315
2017-03-01,1998.025109
2017-04-01,1816.500948
2017-05-01,1932.119354
2017-06-01,1941.819599
2017-07-01,1435.381255
2017-08-01,1969.767319
2017-09-01,1810.733897
2017-10-01,1776.581237
2017-11-01,1854.758208
2017-12-01,1905.63382
2018-01-01,1553.244892
2018-02-01,1635.578129
2018-03-01,2251.906743
2018-04-01,1904.375584
2018-05-01,2035.27867
2018-06-01,1746.752252
2018-07-01,1828.244249
2018-08-01,1838.229918
2018-09-01,1780.169192
2018-10-01,1789.572083
2018-11-01,1506.553978
2018-12-01,1546.824398
2019-01-01,1487.882034
2019-02-01,1518.245677
2019-03-01,1620.155462
2019-04-01,1394.411195
2019-05-01,1862.468258
2019-06-01,1858.674682
2019-07-01,1614.241065
2019-08-01,1717.340894
2019-09-01,1885.540512
2019-10-01,2021.122525
