DATE,EXPTOTCO
1995-08-01,359.4
1995-09-01,402.5
1995-10-01,367.5
1995-11-01,378.3
1995-12-01,420.7
1996-01-01,406.7
1996-02-01,401.0
1996-03-01,431.4
1996-04-01,414.7
1996-05-01,399.9
1996-06-01,380.6
1996-07-01,376.4
1996-08-01,392.2
1996-09-01,412.3
1996-10-01,442.0
1996-11-01,399.6
1996-12-01,426.3
1997-01-01,410.4
1997-02-01,386.0
1997-03-01,452.1
1997-04-01,401.2
1997-05-01,418.6
1997-06-01,435.2
1997-07-01,407.0
1997-08-01,448.4
1997-09-01,455.5
1997-10-01,456.4
1997-11-01,409.5
1997-12-01,439.5
1998-01-01,400.0
1998-02-01,397.2
1998-03-01,437.4
1998-04-01,430.1
1998-05-01,413.1
1998-06-01,471.6
1998-07-01,426.1
1998-08-01,437.6
1998-09-01,468.6
1998-10-01,487.3
1998-11-01,413.4
1998-12-01,483.8
1999-01-01,425.6
1999-02-01,435.3
1999-03-01,523.9
1999-04-01,455.8
1999-05-01,454.5
1999-06-01,496.7
1999-07-01,541.2
1999-08-01,500.7
1999-09-01,530.2
1999-10-01,546.0
1999-11-01,494.3
1999-12-01,527.2
2000-01-01,444.7
2000-02-01,483.8
2000-03-01,579.4
2000-04-01,501.7
2000-05-01,495.9
2000-06-01,549.7
2000-07-01,537.7
2000-08-01,576.9
2000-09-01,597.9
2000-10-01,610.6
2000-11-01,598.7
2000-12-01,616.1
2001-01-01,504.6
2001-02-01,534.0
2001-03-01,592.9
2001-04-01,510.1
2001-05-01,521.1
2001-06-01,530.6
2001-07-01,502.0
2001-08-01,504.0
2001-09-01,480.4
2001-10-01,487.8
2001-11-01,478.8
2001-12-01,479.2
2002-01-01,449.8
2002-02-01,426.2
2002-03-01,484.8
2002-04-01,434.8
2002-05-01,452.3
2002-06-01,506.5
2002-07-01,462.5
2002-08-01,419.9
2002-09-01,466.6
2002-10-01,447.9
2002-11-01,497.3
2002-12-01,473.2
2003-01-01,443.9
2003-02-01,415.3
2003-03-01,489.4
2003-04-01,493.5
2003-05-01,461.5
2003-06-01,506.0
2003-07-01,502.1
2003-08-01,475.2
2003-09-01,542.1
2003-10-01,581.5
2003-11-01,601.7
2003-12-01,596.9
2004-01-01,495.6
2004-02-01,491.2
2004-03-01,580.3
2004-04-01,575.3
2004-05-01,541.5
2004-06-01,554.9
2004-07-01,556.3
2004-08-01,509.9
2004-09-01,592.3
2004-10-01,599.7
2004-11-01,521.8
2004-12-01,608.8
2005-01-01,525.6
2005-02-01,517.0
2005-03-01,623.2
2005-04-01,539.1
2005-05-01,536.5
2005-06-01,547.0
2005-07-01,525.1
2005-08-01,560.0
2005-09-01,588.3
2005-10-01,616.5
2005-11-01,563.8
2005-12-01,641.4
2006-01-01,541.7
2006-02-01,564.9
2006-03-01,707.3
2006-04-01,729.6
2006-05-01,641.6
2006-06-01,692.6
2006-07-01,661.5
2006-08-01,707.7
2006-09-01,677.6
2006-10-01,719.7
2006-11-01,709.4
2006-12-01,602.5
2007-01-01,608.2
2007-02-01,580.5
2007-03-01,676.8
2007-04-01,664.9
2007-05-01,594.4
2007-06-01,610.0
2007-07-01,594.6
2007-08-01,603.1
2007-09-01,573.3
2007-10-01,675.9
2007-11-01,561.5
2007-12-01,606.9
2008-01-01,607.7
2008-02-01,561.0
2008-03-01,683.5
2008-04-01,698.9
2008-05-01,621.8
2008-06-01,654.4
2008-07-01,724.3
2008-08-01,658.5
2008-09-01,730.8
2008-10-01,718.3
2008-11-01,517.5
2008-12-01,491.2
2009-01-01,507.5
2009-02-01,424.2
2009-03-01,529.8
2009-04-01,495.0
2009-05-01,437.4
2009-06-01,476.1
2009-07-01,473.9
2009-08-01,455.6
2009-09-01,528.3
2009-10-01,502.7
2009-11-01,448.1
2009-12-01,501.6
2010-01-01,453.8
2010-02-01,470.6
2010-03-01,513.3
2010-04-01,519.0
2010-05-01,545.4
2010-06-01,599.4
2010-07-01,546.9
2010-08-01,600.3
2010-09-01,624.7
2010-10-01,655.1
2010-11-01,577.7
2010-12-01,564.1
2011-01-01,519.6
2011-02-01,515.1
2011-03-01,613.2
2011-04-01,628.9
2011-05-01,616.5
2011-06-01,640.4
2011-07-01,652.4
2011-08-01,631.1
2011-09-01,618.7
2011-10-01,680.0
2011-11-01,587.3
2011-12-01,630.9
2012-01-01,611.0
2012-02-01,583.2
2012-03-01,752.5
2012-04-01,647.4
2012-05-01,684.9
2012-06-01,668.7
2012-07-01,645.8
2012-08-01,764.8
2012-09-01,731.1
2012-10-01,667.0
2012-11-01,673.3
2012-12-01,734.0
2013-01-01,661.593288
2013-02-01,634.242172
2013-03-01,733.423047
2013-04-01,671.12149
2013-05-01,706.869748
2013-06-01,758.078933
2013-07-01,778.480177
2013-08-01,765.611212
2013-09-01,665.904021
2013-10-01,781.068689
2013-11-01,732.853462
2013-12-01,655.768752
2014-01-01,631.367296
2014-02-01,606.377146
2014-03-01,690.138381
2014-04-01,661.491815
2014-05-01,693.482323
2014-06-01,739.890825
2014-07-01,707.125181
2014-08-01,796.511527
2014-09-01,661.213568
2014-10-01,757.599951
2014-11-01,716.003474
2014-12-01,702.504517
2015-01-01,632.904783
2015-02-01,617.875298
2015-03-01,765.446547
2015-04-01,698.331628
2015-05-01,698.219824
2015-06-01,722.580362
2015-07-01,683.003489
2015-08-01,629.478832
2015-09-01,637.425352
2015-10-01,650.856135
2015-11-01,605.293947
2015-12-01,608.23028
2016-01-01,620.582413
2016-02-01,569.266668
2016-03-01,617.630922
2016-04-01,629.289346
2016-05-01,607.507708
2016-06-01,633.957188
2016-07-01,667.073817
2016-08-01,638.570653
2016-09-01,661.335816
2016-10-01,628.98087
2016-11-01,624.118139
2016-12-01,671.136843
2017-01-01,632.321065
2017-02-01,603.955063
2017-03-01,725.073631
2017-04-01,629.444912
2017-05-01,676.46756
2017-06-01,671.801626
2017-07-01,649.172811
2017-08-01,696.094274
2017-09-01,663.331659
2017-10-01,740.365715
2017-11-01,664.239658
2017-12-01,702.223629
2018-01-01,676.450875
2018-02-01,683.590392
2018-03-01,790.339253
2018-04-01,715.362979
2018-05-01,759.385666
2018-06-01,698.553445
2018-07-01,670.94342
2018-08-01,686.543606
2018-09-01,677.187795
2018-10-01,683.941366
2018-11-01,666.026265
2018-12-01,620.508139
2019-01-01,630.291905
2019-02-01,599.882605
2019-03-01,696.163339
2019-04-01,676.603047
2019-05-01,672.640776
2019-06-01,700.509992
2019-07-01,699.516413
2019-08-01,729.675542
2019-09-01,660.888097
2019-10-01,704.228926
