DATE,EXPTOTCT
1995-08-01,497.3
1995-09-01,438.8
1995-10-01,417.2
1995-11-01,583.6
1995-12-01,475.7
1996-01-01,494.0
1996-02-01,482.8
1996-03-01,658.8
1996-04-01,462.7
1996-05-01,464.5
1996-06-01,468.4
1996-07-01,422.0
1996-08-01,487.6
1996-09-01,468.6
1996-10-01,525.7
1996-11-01,679.1
1996-12-01,485.4
1997-01-01,537.9
1997-02-01,578.2
1997-03-01,614.4
1997-04-01,609.8
1997-05-01,571.7
1997-06-01,577.7
1997-07-01,568.0
1997-08-01,548.3
1997-09-01,592.4
1997-10-01,618.6
1997-11-01,593.7
1997-12-01,647.3
1998-01-01,627.1
1998-02-01,533.2
1998-03-01,572.8
1998-04-01,621.5
1998-05-01,589.5
1998-06-01,618.2
1998-07-01,679.7
1998-08-01,667.1
1998-09-01,575.3
1998-10-01,648.1
1998-11-01,580.6
1998-12-01,584.0
1999-01-01,519.8
1999-02-01,513.5
1999-03-01,629.2
1999-04-01,596.5
1999-05-01,604.0
1999-06-01,678.9
1999-07-01,584.0
1999-08-01,589.1
1999-09-01,572.0
1999-10-01,600.8
1999-11-01,706.3
1999-12-01,637.1
2000-01-01,515.7
2000-02-01,672.2
2000-03-01,677.9
2000-04-01,618.2
2000-05-01,586.7
2000-06-01,763.7
2000-07-01,583.0
2000-08-01,643.4
2000-09-01,681.9
2000-10-01,764.1
2000-11-01,771.6
2000-12-01,768.5
2001-01-01,790.6
2001-02-01,707.9
2001-03-01,757.2
2001-04-01,602.2
2001-05-01,789.9
2001-06-01,781.5
2001-07-01,616.1
2001-08-01,653.5
2001-09-01,708.0
2001-10-01,770.3
2001-11-01,754.0
2001-12-01,679.2
2002-01-01,665.2
2002-02-01,679.0
2002-03-01,714.3
2002-04-01,690.8
2002-05-01,677.8
2002-06-01,679.3
2002-07-01,699.2
2002-08-01,615.4
2002-09-01,786.1
2002-10-01,749.0
2002-11-01,731.2
2002-12-01,626.0
2003-01-01,669.8
2003-02-01,538.4
2003-03-01,785.1
2003-04-01,664.1
2003-05-01,742.6
2003-06-01,697.7
2003-07-01,635.3
2003-08-01,593.2
2003-09-01,686.1
2003-10-01,674.3
2003-11-01,781.9
2003-12-01,668.0
2004-01-01,659.4
2004-02-01,687.9
2004-03-01,808.4
2004-04-01,752.7
2004-05-01,764.7
2004-06-01,654.9
2004-07-01,610.8
2004-08-01,677.4
2004-09-01,715.7
2004-10-01,809.2
2004-11-01,697.8
2004-12-01,711.1
2005-01-01,687.2
2005-02-01,720.7
2005-03-01,903.6
2005-04-01,762.2
2005-05-01,795.1
2005-06-01,794.0
2005-07-01,770.1
2005-08-01,791.8
2005-09-01,838.2
2005-10-01,905.3
2005-11-01,838.7
2005-12-01,880.3
2006-01-01,859.8
2006-02-01,902.9
2006-03-01,998.6
2006-04-01,1070.1
2006-05-01,978.7
2006-06-01,1175.1
2006-07-01,1161.5
2006-08-01,929.0
2006-09-01,1004.9
2006-10-01,1056.7
2006-11-01,1012.6
2006-12-01,1088.4
2007-01-01,1042.8
2007-02-01,1008.7
2007-03-01,1172.8
2007-04-01,1043.6
2007-05-01,1245.0
2007-06-01,1191.3
2007-07-01,1112.2
2007-08-01,1114.4
2007-09-01,1140.7
2007-10-01,1216.4
2007-11-01,1323.5
2007-12-01,1107.8
2008-01-01,1178.1
2008-02-01,1139.3
2008-03-01,1281.5
2008-04-01,1263.5
2008-05-01,1248.7
2008-06-01,1391.4
2008-07-01,1205.1
2008-08-01,1345.4
2008-09-01,1371.3
2008-10-01,1316.2
2008-11-01,1331.8
2008-12-01,1240.6
2009-01-01,1157.6
2009-02-01,1187.0
2009-03-01,1195.9
2009-04-01,1062.7
2009-05-01,1018.0
2009-06-01,1104.9
2009-07-01,975.9
2009-08-01,1124.1
2009-09-01,1239.6
2009-10-01,1312.5
2009-11-01,1274.6
2009-12-01,1369.4
2010-01-01,1203.6
2010-02-01,1135.6
2010-03-01,1368.4
2010-04-01,1410.7
2010-05-01,1393.7
2010-06-01,1341.2
2010-07-01,1139.6
2010-08-01,1360.7
2010-09-01,1378.5
2010-10-01,1390.7
2010-11-01,1438.5
2010-12-01,1471.7
2011-01-01,1185.6
2011-02-01,1312.4
2011-03-01,1607.2
2011-04-01,1371.2
2011-05-01,1616.7
2011-06-01,1305.9
2011-07-01,1143.1
2011-08-01,1300.0
2011-09-01,1121.4
2011-10-01,1427.2
2011-11-01,1349.5
2011-12-01,1457.9
2012-01-01,1147.7
2012-02-01,1227.0
2012-03-01,1612.4
2012-04-01,1304.1
2012-05-01,1416.1
2012-06-01,1526.1
2012-07-01,1182.6
2012-08-01,1339.0
2012-09-01,1189.9
2012-10-01,1193.1
2012-11-01,1283.6
2012-12-01,1443.9
2013-01-01,1489.389263
2013-02-01,1176.699809
2013-03-01,1535.527904
2013-04-01,1577.431044
2013-05-01,1263.485183
2013-06-01,1394.166726
2013-07-01,1260.171979
2013-08-01,1397.426219
2013-09-01,1354.931107
2013-10-01,1335.67553
2013-11-01,1459.700259
2013-12-01,1182.07357
2014-01-01,1312.758477
2014-02-01,1197.557332
2014-03-01,1627.094096
2014-04-01,1227.42398
2014-05-01,1357.423406
2014-06-01,1374.892096
2014-07-01,1325.630839
2014-08-01,1245.60848
2014-09-01,1341.537544
2014-10-01,1356.946306
2014-11-01,1271.639893
2014-12-01,1324.328794
2015-01-01,1287.211356
2015-02-01,1271.496971
2015-03-01,1377.690763
2015-04-01,1358.610262
2015-05-01,1372.788039
2015-06-01,1371.038672
2015-07-01,1184.550381
2015-08-01,1023.774222
2015-09-01,1121.689587
2015-10-01,1408.070902
2015-11-01,1252.296817
2015-12-01,1212.537315
2016-01-01,1109.861684
2016-02-01,1278.59622
2016-03-01,1390.023942
2016-04-01,1226.362263
2016-05-01,1186.085229
2016-06-01,1194.920352
2016-07-01,1037.826043
2016-08-01,1135.697443
2016-09-01,1136.598266
2016-10-01,1264.215278
2016-11-01,1062.624145
2016-12-01,1371.226307
2017-01-01,981.636515
2017-02-01,968.704923
2017-03-01,1437.058787
2017-04-01,1141.219476
2017-05-01,1055.945255
2017-06-01,1207.784424
2017-07-01,1297.161529
2017-08-01,1336.087543
2017-09-01,1446.755496
2017-10-01,1395.510282
2017-11-01,1183.047058
2017-12-01,1340.299048
2018-01-01,1135.799755
2018-02-01,1063.935424
2018-03-01,1538.521306
2018-04-01,1490.803407
2018-05-01,1643.86012
2018-06-01,1568.79655
2018-07-01,1279.819061
2018-08-01,1594.880611
2018-09-01,1496.184039
2018-10-01,1702.74686
2018-11-01,1448.648975
2018-12-01,1439.397268
2019-01-01,1534.127093
2019-02-01,1355.327951
2019-03-01,1488.806159
2019-04-01,1368.232557
2019-05-01,1293.530043
2019-06-01,1387.043494
2019-07-01,1130.718776
2019-08-01,1229.116364
2019-09-01,1392.520962
2019-10-01,1281.304377
