DATE,EXPTOTMA
1995-08-01,1078.1
1995-09-01,1157.1
1995-10-01,1216.9
1995-11-01,1117.1
1995-12-01,1277.2
1996-01-01,1154.6
1996-02-01,1186.8
1996-03-01,1396.2
1996-04-01,1243.6
1996-05-01,1242.7
1996-06-01,1136.2
1996-07-01,1025.6
1996-08-01,1102.6
1996-09-01,1158.7
1996-10-01,1255.4
1996-11-01,1304.5
1996-12-01,1316.8
1997-01-01,1293.4
1997-02-01,1236.1
1997-03-01,1440.8
1997-04-01,1348.9
1997-05-01,1365.8
1997-06-01,1421.3
1997-07-01,1325.2
1997-08-01,1377.0
1997-09-01,1377.5
1997-10-01,1493.0
1997-11-01,1339.2
1997-12-01,1508.0
1998-01-01,1308.6
1998-02-01,1264.7
1998-03-01,1475.2
1998-04-01,1361.3
1998-05-01,1299.6
1998-06-01,1343.8
1998-07-01,1240.5
1998-08-01,1197.6
1998-09-01,1307.0
1998-10-01,1420.6
1998-11-01,1250.2
1998-12-01,1409.1
1999-01-01,1206.7
1999-02-01,1274.6
1999-03-01,1518.5
1999-04-01,1362.1
1999-05-01,1334.6
1999-06-01,1398.1
1999-07-01,1307.3
1999-08-01,1341.8
1999-09-01,1461.0
1999-10-01,1543.3
1999-11-01,1462.2
1999-12-01,1594.9
2000-01-01,1383.6
2000-02-01,1415.2
2000-03-01,1895.1
2000-04-01,1703.2
2000-05-01,1546.8
2000-06-01,1799.3
2000-07-01,1648.9
2000-08-01,1782.7
2000-09-01,1868.2
2000-10-01,1873.7
2000-11-01,1814.4
2000-12-01,1783.4
2001-01-01,1667.6
2001-02-01,1509.9
2001-03-01,1782.8
2001-04-01,1544.4
2001-05-01,1499.0
2001-06-01,1604.2
2001-07-01,1267.6
2001-08-01,1314.0
2001-09-01,1331.9
2001-10-01,1269.8
2001-11-01,1252.0
2001-12-01,1446.9
2002-01-01,1137.3
2002-02-01,1199.6
2002-03-01,1423.4
2002-04-01,1294.2
2002-05-01,1295.8
2002-06-01,1537.9
2002-07-01,1330.2
2002-08-01,1479.1
2002-09-01,1587.4
2002-10-01,1631.6
2002-11-01,1446.4
2002-12-01,1344.9
2003-01-01,1434.9
2003-02-01,1353.9
2003-03-01,1656.0
2003-04-01,1486.5
2003-05-01,1498.7
2003-06-01,1563.3
2003-07-01,1481.2
2003-08-01,1588.1
2003-09-01,1716.0
2003-10-01,1741.5
2003-11-01,1592.2
2003-12-01,1550.2
2004-01-01,1603.5
2004-02-01,1680.9
2004-03-01,2005.4
2004-04-01,1936.5
2004-05-01,1928.9
2004-06-01,1943.1
2004-07-01,1665.6
2004-08-01,1776.1
2004-09-01,1833.2
2004-10-01,1955.6
2004-11-01,1645.0
2004-12-01,1839.8
2005-01-01,1602.0
2005-02-01,1659.9
2005-03-01,2042.7
2005-04-01,1940.2
2005-05-01,1922.4
2005-06-01,1938.4
2005-07-01,1689.0
2005-08-01,1609.6
2005-09-01,1903.2
2005-10-01,1887.6
2005-11-01,1886.1
2005-12-01,1961.7
2006-01-01,1733.6
2006-02-01,1794.8
2006-03-01,2144.4
2006-04-01,1826.6
2006-05-01,2045.4
2006-06-01,2190.3
2006-07-01,1974.1
2006-08-01,1987.6
2006-09-01,2041.7
2006-10-01,2175.5
2006-11-01,2034.2
2006-12-01,2098.8
2007-01-01,1980.5
2007-02-01,1895.6
2007-03-01,2231.8
2007-04-01,2037.2
2007-05-01,2353.3
2007-06-01,2206.5
2007-07-01,1952.0
2007-08-01,2064.5
2007-09-01,2133.9
2007-10-01,2188.5
2007-11-01,2092.4
2007-12-01,2148.8
2008-01-01,2297.6
2008-02-01,2408.7
2008-03-01,2510.5
2008-04-01,2521.3
2008-05-01,2438.0
2008-06-01,2398.1
2008-07-01,2440.4
2008-08-01,2417.9
2008-09-01,2398.7
2008-10-01,2271.6
2008-11-01,2093.5
2008-12-01,2096.2
2009-01-01,2027.5
2009-02-01,1988.8
2009-03-01,2144.8
2009-04-01,1768.7
2009-05-01,1822.4
2009-06-01,1934.3
2009-07-01,1747.3
2009-08-01,1847.5
2009-09-01,1958.4
2009-10-01,2148.3
2009-11-01,2051.3
2009-12-01,2135.5
2010-01-01,2034.6
2010-02-01,1952.4
2010-03-01,2323.4
2010-04-01,2112.2
2010-05-01,2207.1
2010-06-01,2343.0
2010-07-01,2237.6
2010-08-01,2342.0
2010-09-01,2202.3
2010-10-01,2221.0
2010-11-01,2041.8
2010-12-01,2239.0
2011-01-01,1956.8
2011-02-01,1846.2
2011-03-01,2518.5
2011-04-01,2416.2
2011-05-01,2690.3
2011-06-01,2481.6
2011-07-01,2355.4
2011-08-01,2184.5
2011-09-01,2645.4
2011-10-01,2276.2
2011-11-01,2050.6
2011-12-01,2289.2
2012-01-01,2146.3
2012-02-01,2446.3
2012-03-01,2641.3
2012-04-01,1977.7
2012-05-01,2106.5
2012-06-01,2192.5
2012-07-01,1914.6
2012-08-01,1984.7
2012-09-01,2086.8
2012-10-01,1945.3
2012-11-01,2037.0
2012-12-01,2070.5
2013-01-01,1938.835468
2013-02-01,2080.040574
2013-03-01,2483.907924
2013-04-01,2166.775112
2013-05-01,2285.73005
2013-06-01,2312.124804
2013-07-01,2107.368394
2013-08-01,2270.649183
2013-09-01,2144.441551
2013-10-01,2492.695846
2013-11-01,2290.194481
2013-12-01,2239.252331
2014-01-01,2156.94024
2014-02-01,2215.97444
2014-03-01,2618.286758
2014-04-01,2414.057356
2014-05-01,2382.080299
2014-06-01,2411.172422
2014-07-01,2288.1853
2014-08-01,2087.596754
2014-09-01,2059.493314
2014-10-01,2319.321833
2014-11-01,2222.850403
2014-12-01,2208.214835
2015-01-01,1996.369756
2015-02-01,1821.4853
2015-03-01,2231.139427
2015-04-01,2057.724588
2015-05-01,2038.009671
2015-06-01,2121.746449
2015-07-01,2084.300689
2015-08-01,2038.838297
2015-09-01,2279.241118
2015-10-01,2362.728562
2015-11-01,2070.808389
2015-12-01,2186.902126
2016-01-01,2133.347212
2016-02-01,1996.762292
2016-03-01,2307.794814
2016-04-01,2301.42414
2016-05-01,2205.028697
2016-06-01,2202.035457
2016-07-01,2072.915098
2016-08-01,2060.441965
2016-09-01,2391.782214
2016-10-01,2117.770248
2016-11-01,1922.773754
2016-12-01,2180.94954
2017-01-01,2015.094703
2017-02-01,1897.674164
2017-03-01,2426.876601
2017-04-01,2144.253022
2017-05-01,2129.597672
2017-06-01,2361.774253
2017-07-01,2434.502368
2017-08-01,2287.369272
2017-09-01,2643.01228
2017-10-01,2392.570018
2017-11-01,2350.634252
2017-12-01,2479.273672
2018-01-01,2181.669725
2018-02-01,2008.426006
2018-03-01,2449.359775
2018-04-01,2447.203879
2018-05-01,2392.784386
2018-06-01,2341.187434
2018-07-01,2113.574434
2018-08-01,2230.60381
2018-09-01,2175.671054
2018-10-01,2239.243086
2018-11-01,2289.90656
2018-12-01,2288.346632
2019-01-01,2032.94463
2019-02-01,2171.964948
2019-03-01,2359.118088
2019-04-01,2113.113452
2019-05-01,2264.333955
2019-06-01,2226.913815
2019-07-01,1901.48172
2019-08-01,2331.174901
2019-09-01,2177.171608
2019-10-01,2275.253768
