DATE,EXPTOTME
1995-08-01,143.4
1995-09-01,123.4
1995-10-01,125.3
1995-11-01,105.6
1995-12-01,117.8
1996-01-01,113.3
1996-02-01,105.4
1996-03-01,145.4
1996-04-01,99.2
1996-05-01,112.0
1996-06-01,93.1
1996-07-01,105.9
1996-08-01,130.9
1996-09-01,129.3
1996-10-01,129.5
1996-11-01,116.0
1996-12-01,99.8
1997-01-01,103.9
1997-02-01,134.1
1997-03-01,124.9
1997-04-01,110.5
1997-05-01,116.0
1997-06-01,117.0
1997-07-01,141.9
1997-08-01,176.3
1997-09-01,170.7
1997-10-01,184.5
1997-11-01,170.6
1997-12-01,172.5
1998-01-01,169.5
1998-02-01,172.8
1998-03-01,157.3
1998-04-01,126.2
1998-05-01,118.5
1998-06-01,132.8
1998-07-01,151.4
1998-08-01,153.8
1998-09-01,162.9
1998-10-01,163.8
1998-11-01,148.9
1998-12-01,167.1
1999-01-01,169.7
1999-02-01,188.2
1999-03-01,205.8
1999-04-01,167.1
1999-05-01,127.3
1999-06-01,143.7
1999-07-01,161.9
1999-08-01,175.5
1999-09-01,175.1
1999-10-01,183.3
1999-11-01,157.8
1999-12-01,158.8
2000-01-01,116.8
2000-02-01,133.1
2000-03-01,162.2
2000-04-01,133.3
2000-05-01,133.4
2000-06-01,142.3
2000-07-01,148.5
2000-08-01,193.9
2000-09-01,168.0
2000-10-01,155.6
2000-11-01,145.6
2000-12-01,145.9
2001-01-01,143.9
2001-02-01,133.7
2001-03-01,171.7
2001-04-01,131.7
2001-05-01,166.6
2001-06-01,129.0
2001-07-01,123.4
2001-08-01,181.8
2001-09-01,155.3
2001-10-01,189.2
2001-11-01,149.2
2001-12-01,137.1
2002-01-01,121.2
2002-02-01,131.0
2002-03-01,167.9
2002-04-01,161.1
2002-05-01,135.1
2002-06-01,167.1
2002-07-01,158.8
2002-08-01,218.4
2002-09-01,205.5
2002-10-01,178.0
2002-11-01,152.8
2002-12-01,176.1
2003-01-01,176.1
2003-02-01,216.8
2003-03-01,171.4
2003-04-01,165.3
2003-05-01,162.4
2003-06-01,155.8
2003-07-01,149.7
2003-08-01,200.0
2003-09-01,193.6
2003-10-01,216.8
2003-11-01,207.5
2003-12-01,173.2
2004-01-01,162.1
2004-02-01,423.1
2004-03-01,183.4
2004-04-01,176.1
2004-05-01,180.1
2004-06-01,166.1
2004-07-01,154.9
2004-08-01,167.0
2004-09-01,203.3
2004-10-01,253.1
2004-11-01,189.2
2004-12-01,166.8
2005-01-01,163.9
2005-02-01,152.1
2005-03-01,183.2
2005-04-01,172.6
2005-05-01,177.4
2005-06-01,171.4
2005-07-01,177.5
2005-08-01,214.1
2005-09-01,222.4
2005-10-01,245.2
2005-11-01,237.7
2005-12-01,192.2
2006-01-01,194.1
2006-02-01,180.3
2006-03-01,213.1
2006-04-01,212.7
2006-05-01,218.7
2006-06-01,212.2
2006-07-01,217.8
2006-08-01,252.8
2006-09-01,247.2
2006-10-01,253.6
2006-11-01,210.2
2006-12-01,213.9
2007-01-01,204.2
2007-02-01,199.3
2007-03-01,236.2
2007-04-01,199.6
2007-05-01,219.8
2007-06-01,199.2
2007-07-01,231.4
2007-08-01,221.6
2007-09-01,240.2
2007-10-01,288.4
2007-11-01,263.8
2007-12-01,238.8
2008-01-01,266.0
2008-02-01,240.0
2008-03-01,261.9
2008-04-01,240.3
2008-05-01,227.1
2008-06-01,227.1
2008-07-01,229.0
2008-08-01,265.4
2008-09-01,233.3
2008-10-01,272.6
2008-11-01,350.1
2008-12-01,198.7
2009-01-01,158.9
2009-02-01,175.9
2009-03-01,181.3
2009-04-01,159.1
2009-05-01,133.4
2009-06-01,135.6
2009-07-01,249.8
2009-08-01,246.1
2009-09-01,197.1
2009-10-01,269.1
2009-11-01,194.5
2009-12-01,175.5
2010-01-01,206.2
2010-02-01,202.4
2010-03-01,214.7
2010-04-01,262.9
2010-05-01,238.5
2010-06-01,242.0
2010-07-01,251.2
2010-08-01,309.7
2010-09-01,322.4
2010-10-01,320.2
2010-11-01,274.3
2010-12-01,304.0
2011-01-01,312.6
2011-02-01,257.0
2011-03-01,319.3
2011-04-01,343.0
2011-05-01,300.7
2011-06-01,263.8
2011-07-01,277.5
2011-08-01,345.1
2011-09-01,280.0
2011-10-01,291.2
2011-11-01,267.2
2011-12-01,203.3
2012-01-01,200.4
2012-02-01,268.9
2012-03-01,258.1
2012-04-01,234.4
2012-05-01,251.0
2012-06-01,255.6
2012-07-01,277.5
2012-08-01,331.7
2012-09-01,273.4
2012-10-01,294.7
2012-11-01,235.9
2012-12-01,176.4
2013-01-01,197.968463
2013-02-01,207.102966
2013-03-01,231.79703
2013-04-01,210.901053
2013-05-01,282.570362
2013-06-01,196.592828
2013-07-01,241.553559
2013-08-01,270.95491
2013-09-01,234.408047
2013-10-01,236.940343
2013-11-01,195.975098
2013-12-01,179.990521
2014-01-01,204.615802
2014-02-01,208.082913
2014-03-01,196.294808
2014-04-01,193.998713
2014-05-01,178.491124
2014-06-01,279.851195
2014-07-01,197.135348
2014-08-01,302.722562
2014-09-01,260.729553
2014-10-01,279.972179
2014-11-01,264.506775
2014-12-01,244.659519
2015-01-01,204.081366
2015-02-01,190.451039
2015-03-01,211.29489
2015-04-01,184.365268
2015-05-01,203.436609
2015-06-01,180.738635
2015-07-01,217.406035
2015-08-01,261.180932
2015-09-01,267.032669
2015-10-01,334.749085
2015-11-01,257.286211
2015-12-01,249.746131
2016-01-01,193.187473
2016-02-01,214.447955
2016-03-01,200.230984
2016-04-01,207.338136
2016-05-01,203.608912
2016-06-01,212.965321
2016-07-01,256.275866
2016-08-01,307.540027
2016-09-01,295.309355
2016-10-01,284.777937
2016-11-01,257.032877
2016-12-01,230.51114
2017-01-01,215.752642
2017-02-01,215.75961
2017-03-01,203.017692
2017-04-01,212.525652
2017-05-01,180.601335
2017-06-01,199.851407
2017-07-01,222.022769
2017-08-01,265.474298
2017-09-01,257.913994
2017-10-01,277.754366
2017-11-01,231.211293
2017-12-01,229.581138
2018-01-01,216.910085
2018-02-01,259.652755
2018-03-01,229.277533
2018-04-01,194.183396
2018-05-01,240.498966
2018-06-01,207.998189
2018-07-01,249.609248
2018-08-01,270.006797
2018-09-01,250.863444
2018-10-01,280.942364
2018-11-01,225.159358
2018-12-01,211.46572
2019-01-01,189.055438
2019-02-01,199.272436
2019-03-01,208.480803
2019-04-01,228.990344
2019-05-01,225.056186
2019-06-01,204.972367
2019-07-01,184.869449
2019-08-01,308.832254
2019-09-01,234.942978
2019-10-01,299.19943
