DATE,EXPTOTMT
1995-08-01,32.0
1995-09-01,29.5
1995-10-01,30.0
1995-11-01,19.0
1995-12-01,30.1
1996-01-01,25.4
1996-02-01,33.4
1996-03-01,34.0
1996-04-01,41.7
1996-05-01,42.6
1996-06-01,35.7
1996-07-01,29.7
1996-08-01,49.2
1996-09-01,41.5
1996-10-01,36.0
1996-11-01,40.4
1996-12-01,29.6
1997-01-01,41.3
1997-02-01,46.9
1997-03-01,40.3
1997-04-01,53.3
1997-05-01,37.8
1997-06-01,42.9
1997-07-01,45.6
1997-08-01,42.7
1997-09-01,53.7
1997-10-01,48.5
1997-11-01,44.6
1997-12-01,32.3
1998-01-01,34.4
1998-02-01,29.7
1998-03-01,34.0
1998-04-01,46.5
1998-05-01,31.6
1998-06-01,41.4
1998-07-01,37.3
1998-08-01,29.4
1998-09-01,24.6
1998-10-01,37.9
1998-11-01,37.7
1998-12-01,36.3
1999-01-01,35.4
1999-02-01,41.6
1999-03-01,31.8
1999-04-01,27.4
1999-05-01,31.6
1999-06-01,32.9
1999-07-01,24.8
1999-08-01,28.7
1999-09-01,28.7
1999-10-01,64.0
1999-11-01,48.9
1999-12-01,31.0
2000-01-01,39.3
2000-02-01,37.1
2000-03-01,53.5
2000-04-01,39.2
2000-05-01,42.5
2000-06-01,46.2
2000-07-01,35.9
2000-08-01,39.7
2000-09-01,36.4
2000-10-01,86.3
2000-11-01,53.9
2000-12-01,30.6
2001-01-01,38.1
2001-02-01,38.3
2001-03-01,52.1
2001-04-01,35.7
2001-05-01,35.6
2001-06-01,41.2
2001-07-01,35.4
2001-08-01,30.2
2001-09-01,30.8
2001-10-01,90.7
2001-11-01,34.2
2001-12-01,26.4
2002-01-01,35.7
2002-02-01,27.2
2002-03-01,35.8
2002-04-01,37.3
2002-05-01,39.2
2002-06-01,35.5
2002-07-01,29.5
2002-08-01,24.9
2002-09-01,23.8
2002-10-01,22.9
2002-11-01,43.7
2002-12-01,30.2
2003-01-01,26.2
2003-02-01,27.0
2003-03-01,33.9
2003-04-01,32.3
2003-05-01,31.7
2003-06-01,30.7
2003-07-01,28.8
2003-08-01,33.3
2003-09-01,28.8
2003-10-01,31.4
2003-11-01,28.0
2003-12-01,29.5
2004-01-01,35.3
2004-02-01,41.0
2004-03-01,47.1
2004-04-01,57.0
2004-05-01,59.4
2004-06-01,51.8
2004-07-01,42.4
2004-08-01,44.5
2004-09-01,50.2
2004-10-01,43.0
2004-11-01,46.9
2004-12-01,44.2
2005-01-01,46.3
2005-02-01,68.9
2005-03-01,55.2
2005-04-01,61.1
2005-05-01,55.6
2005-06-01,60.5
2005-07-01,49.9
2005-08-01,71.5
2005-09-01,74.1
2005-10-01,59.6
2005-11-01,54.8
2005-12-01,53.3
2006-01-01,58.3
2006-02-01,53.9
2006-03-01,68.4
2006-04-01,64.2
2006-05-01,79.3
2006-06-01,73.2
2006-07-01,63.4
2006-08-01,95.1
2006-09-01,94.4
2006-10-01,65.7
2006-11-01,69.3
2006-12-01,101.5
2007-01-01,68.2
2007-02-01,78.4
2007-03-01,88.5
2007-04-01,85.6
2007-05-01,88.0
2007-06-01,86.6
2007-07-01,111.8
2007-08-01,106.0
2007-09-01,108.1
2007-10-01,98.5
2007-11-01,116.4
2007-12-01,95.2
2008-01-01,105.4
2008-02-01,106.6
2008-03-01,112.9
2008-04-01,141.9
2008-05-01,114.4
2008-06-01,123.5
2008-07-01,125.5
2008-08-01,131.9
2008-09-01,113.6
2008-10-01,124.2
2008-11-01,104.8
2008-12-01,85.7
2009-01-01,76.2
2009-02-01,67.0
2009-03-01,73.2
2009-04-01,85.7
2009-05-01,87.0
2009-06-01,91.1
2009-07-01,98.1
2009-08-01,91.6
2009-09-01,106.1
2009-10-01,83.7
2009-11-01,81.2
2009-12-01,89.1
2010-01-01,85.0
2010-02-01,101.9
2010-03-01,113.0
2010-04-01,103.9
2010-05-01,130.0
2010-06-01,126.3
2010-07-01,123.8
2010-08-01,120.6
2010-09-01,165.6
2010-10-01,116.4
2010-11-01,128.8
2010-12-01,107.0
2011-01-01,113.0
2011-02-01,118.5
2011-03-01,161.6
2011-04-01,123.7
2011-05-01,139.8
2011-06-01,147.0
2011-07-01,138.9
2011-08-01,144.0
2011-09-01,136.0
2011-10-01,137.1
2011-11-01,110.9
2011-12-01,110.8
2012-01-01,99.2
2012-02-01,107.2
2012-03-01,127.6
2012-04-01,148.0
2012-05-01,157.3
2012-06-01,148.5
2012-07-01,134.5
2012-08-01,143.2
2012-09-01,113.5
2012-10-01,130.7
2012-11-01,134.1
2012-12-01,128.7
2013-01-01,118.671291
2013-02-01,109.909524
2013-03-01,142.689221
2013-04-01,142.61045
2013-05-01,137.292647
2013-06-01,121.243642
2013-07-01,119.655542
2013-08-01,152.167715
2013-09-01,115.407578
2013-10-01,136.510254
2013-11-01,111.370926
2013-12-01,98.267468
2014-01-01,115.912298
2014-02-01,105.312815
2014-03-01,118.28079
2014-04-01,130.103832
2014-05-01,143.544745
2014-06-01,151.067881
2014-07-01,131.246024
2014-08-01,143.596608
2014-09-01,131.446187
2014-10-01,141.951755
2014-11-01,118.31941
2014-12-01,114.126337
2015-01-01,104.903794
2015-02-01,108.409977
2015-03-01,117.60601
2015-04-01,125.594811
2015-05-01,130.464427
2015-06-01,106.905555
2015-07-01,121.602756
2015-08-01,124.894889
2015-09-01,131.621631
2015-10-01,132.033653
2015-11-01,100.628636
2015-12-01,99.426175
2016-01-01,102.509811
2016-02-01,98.902217
2016-03-01,117.613467
2016-04-01,103.009618
2016-05-01,107.128346
2016-06-01,126.115151
2016-07-01,90.235498
2016-08-01,116.417196
2016-09-01,120.706954
2016-10-01,125.342216
2016-11-01,125.090382
2016-12-01,127.007421
2017-01-01,105.355067
2017-02-01,116.620916
2017-03-01,138.250747
2017-04-01,122.128699
2017-05-01,134.209238
2017-06-01,137.178221
2017-07-01,135.908124
2017-08-01,156.860762
2017-09-01,141.836511
2017-10-01,138.489749
2017-11-01,151.335501
2017-12-01,137.852648
2018-01-01,110.025756
2018-02-01,105.556166
2018-03-01,145.880342
2018-04-01,146.646407
2018-05-01,148.102078
2018-06-01,153.567676
2018-07-01,140.347136
2018-08-01,142.067816
2018-09-01,138.240217
2018-10-01,160.311034
2018-11-01,145.599237
2018-12-01,130.059298
2019-01-01,123.331775
2019-02-01,93.59259
2019-03-01,144.793699
2019-04-01,131.790662
2019-05-01,135.902526
2019-06-01,164.301179
2019-07-01,165.607011
2019-08-01,158.029751
2019-09-01,160.867975
2019-10-01,166.203609
